part,qtyPerBox,client,machine,labelFormat
LX6A-62428-BD-58502-RB,1100,Infasco,,
M0401001,2500,Infasco,,
M10125NILN,1000,Infasco,,
M12175-ISO7043,575,Infasco,,
M1428AC,200,Infasco,,
M1482AC,200,Infasco,,
M1495AA,130,,,
M1495AB,130,,,
M1549,70000,R&R Rivet,,
M1745AB,300,Infasco,,
M1811AA,200,Infasco,,
M51017,800,Infasco,,
M51020,1200,Infasco,,
M5HFN10-PS11036,6400,Infasco,,
M5HFN10PS11036,6400,Infasco,,
M93000252,2500,Infasco,,
M93000340,1800,Infasco,,
MF03118125CMIP,1000,Accurate Fasteners,,
MF6193,3300,Infasco,,
MX200455,1000,Magnum 2000,,
MX201580,1000,MAGNUM 2000,,
N-3/8-24X.275-NY-250,4500,Algood Casters,,
N-3/8-24X.312-NY,250,Algood Caster,,
N620481-S430,2000,STELFAST,,
N620483-S2,600,INFASCO,,
NA1055-02,450,Infasco,,
NR5034,2000,MSD METAL,,
NU1136,12000,Infasco,,
NU1136-01,12000,,,
NU1144,25000,Infasco,,
NU1205,74000,Infasco,,
NU1237,20000,Infasco,,
NU1305,65000,Infasco,,
NU1305-01,65000,Infasco,,
NU1348,44500,Infasco,,
NU1405-00,75000,INFASCO,,
NU1510,35000,Infasco,,
NU1510-00,35000,Infasco,,
NU2016,3500,Infasco,,
NU2090,30000,Infasco,,
NU2255,2000,Infasco,,
NU3014,10000,Infasco,,
NU3014-01,10000,Infasco,,
NU3014-02,10000,INFASCO,,
NU3019-00,4700,Infasco,,
NU3025-00,41000,,,
NU5108,65000,Infasco,,
NU5108-00,65000,Infasco,,
NU5210,35000,Infasco,,
NU5210-03,35000,,,
NU6100,400,Infasco,,
NUT1923,800,Infasco,,
P-0007,5000,jeyco,,
P-0014A,900,jeyco,,
P0520900,700,Infasco,,
P06508741AA,2100,Infasco,,
P06509078AA,250,Infasco,,
P06509598AA,170,Infasco,,
P06510866AA,1900,Infasco,,
P06510997AA,75,Infasco,,
P06511637AA,1200,Infasco,,
P06511672AA,1400,Infasco,,
P06511701AA,2300,Infasco,,
