po,partNo,traveler,pot,description,box,quantity,invDate,ps,notes
191397,11546545,713593,194,,,90000,2026-07-20 18:00:00,29869,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191397,11546545,713594,1786,,,82500,2026-07-21 18:00:00,29874,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191397,11546545,713595,1789,,,90000,2026-07-22 18:00:00,29877,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191397,11546545,713596,750,,,90000,2026-07-30 18:00:00,29915,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191397,11546545,713597,1649,,,90000,2026-07-20 18:00:00,29871,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191397,11546545,713598,1412,,,90000,2026-07-21 18:00:00,29874,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191397,11546545,713599,697,,,90000,2026-07-20 18:00:00,29871,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191397,11546545,713600,398,,,90000,2026-07-20 18:00:00,29871,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191397,11546545,713601,274,,,90000,2026-08-10 18:00:00,29972,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày lấy từ dòng khác cùng PS
191398,11546545,713602,1802,,,90000,2026-07-21 18:00:00,29874,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191398,11546545,713603,591,,,90000,2026-08-02 18:00:00,29927,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191398,11546545,713604,1790,,,47500,2026-07-25 18:00:00,29893,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191398,11546545,713605,1791,,,90000,2026-08-10 18:00:00,29972,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày lấy từ dòng khác cùng PS
191398,11546545,713606,1068,,,90000,2026-08-10 18:00:00,29972,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày lấy từ dòng khác cùng PS
191398,11546545,713607,764,,,102500,2026-07-25 18:00:00,29893,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191473,NU5108-00,713608,525,,,68000,2026-07-24 18:00:00,29889,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191473,NU5108-00,713609,587,,,65000,2026-07-24 18:00:00,29889,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191473,NU5108-00,713610,1673,,,65000,2026-07-24 18:00:00,29889,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191473,NU5108-00,713611,1800,,,76000,2026-07-24 18:00:00,29889,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191473,NU5108-00,713612,545,,,65000,2026-07-24 18:00:00,29889,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191530,06104388AA,713617,774,,,21816,2026-07-22 18:00:00,29879,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191530,06104388AA,713618,1708,,,17893,2026-07-22 18:00:00,29879,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191530,06104388AA,713619,1339,,,20048,2026-07-22 18:00:00,29879,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191530,06104388AA,713620,665,,,20412,2026-07-27 18:00:00,29902,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191530,06104388AA,713622,1108,,,23760,2026-07-30 18:00:00,29913,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191530,06104388AA,713623,219,,,9240,2026-07-31 18:00:00,29919,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191530,06104388AA,713624,1345,,,15180,2026-07-29 18:00:00,29911,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191530,06104388AA,713625,574,,,27060,2026-07-27 18:00:00,29900,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191530,06104388AA,713626,713,,,20073,2026-07-22 18:00:00,29879,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191521,40073474,713629,1067,,,4886,2026-07-25 18:00:00,29893,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191521,40073474,713630,810,,,5101,2026-07-22 18:00:00,29879,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191521,40073474,713631,1311,,,5168,2026-07-22 18:00:00,29879,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191521,40073474,713632,1355,,,4745,2026-08-10 18:00:00,29961,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày lấy từ dòng khác cùng PS
191521,40073474,713633,1661,,,5315,2026-07-25 18:00:00,29893,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191521,40073474,713634,908,,,5060,2026-07-24 18:00:00,29888,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191611,06511701AA,713641,1014,,,75900,2026-07-26 18:00:00,29898,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191611,06511701AA,713642,1439,,,82800,2026-07-29 18:00:00,29909,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191530,06101831-A,713647,393,,,36000,2026-07-26 18:00:00,29898,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191530,06101831-A,713648,1686,,,36000,2026-07-26 18:00:00,29895,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191530,06101831-A,713649,1555,,,36000,2026-07-25 18:00:00,29893,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
